Offense,Crime Type,ZIP,LAT,LNG
Auto Theft,Non-Violent,77061,29.6427975,-95.30464122
Aggravated Assault,Violent,77022,29.83345976,-95.37152524
Theft,Non-Violent,77041,29.83196918,-95.56220658
Theft,Non-Violent,77081,29.72297633,-95.47718175
Theft,Non-Violent,77055,29.80671554,-95.48495099
Theft,Non-Violent,77061,29.6521648,-95.2583067
Theft,Non-Violent,77098,29.72980059,-95.41284096
Burglary,Non-Violent,77057,29.73963803,-95.50091241
Auto Theft,Non-Violent,77028,29.83030164,-95.30317821
Theft,Non-Violent,77074,29.681779,-95.49618463
Theft,Non-Violent,77061,29.65784838,-95.27858736
Theft,Non-Violent,77036,29.68542765,-95.55196263
Theft,Non-Violent,77035,29.64292784,-95.50317312
Theft,Non-Violent,77077,29.74697738,-95.58687784
Theft,Non-Violent,77032,29.9859915,-95.33615764
Burglary,Non-Violent,77033,29.66532868,-95.34445192
Theft,Non-Violent,77070,29.95777653,-95.54186405
Theft,Non-Violent,77025,29.68117482,-95.4247936
Burglary,Non-Violent,77061,29.65603816,-95.25885842
Theft,Non-Violent,77063,29.72558831,-95.51739395
Theft,Non-Violent,77074,29.70730206,-95.49519641
Theft,Non-Violent,77016,29.8476434,-95.30874076
Theft,Non-Violent,77079,29.78257362,-95.6433348
Theft,Non-Violent,77088,29.88483744,-95.42714622
Auto Theft,Non-Violent,77099,29.68085211,-95.55953696
Auto Theft,Non-Violent,77075,29.61952559,-95.24205408
Theft,Non-Violent,77023,29.7161456,-95.31491312
Theft,Non-Violent,77007,29.77452498,-95.38410869
Robbery,Violent,77021,29.68942522,-95.35354941
Theft,Non-Violent,77027,29.74173233,-95.44202817
Auto Theft,Non-Violent,77034,29.64284401,-95.24008025
Theft,Non-Violent,77043,29.80625877,-95.56400832
Theft,Non-Violent,77042,29.75091505,-95.55281877
Aggravated Assault,Violent,77026,29.8132303,-95.3459647
Aggravated Assault,Violent,77088,29.88309067,-95.46533387
Theft,Non-Violent,77055,29.78653139,-95.4723854
Theft,Non-Violent,77093,29.8384847,-95.33292914
Robbery,Violent,77057,29.72605988,-95.49358747
Robbery,Violent,77045,29.62402458,-95.42841692
Robbery,Violent,77072,29.68835459,-95.57025948
Burglary,Non-Violent,77074,29.68304045,-95.52820471
Rape,Violent,77021,29.68634547,-95.35058421
Burglary,Non-Violent,77063,29.72898549,-95.52869422
Theft,Non-Violent,77072,29.68963488,-95.57600883
Theft,Non-Violent,77041,29.84633679,-95.54095193
Theft,Non-Violent,77009,29.78197761,-95.36058056
Burglary,Non-Violent,77051,29.67542643,-95.3704469
Theft,Non-Violent,77546,29.54282444,-95.14437804
Theft,Non-Violent,77042,29.7368625,-95.56445716
Theft,Non-Violent,77032,29.94133342,-95.33130616
Auto Theft,Non-Violent,77099,29.66292157,-95.56878108
Theft,Non-Violent,77092,29.84903784,-95.47683022
Theft,Non-Violent,77024,29.77860195,-95.53492684
Theft,Non-Violent,77054,29.68371818,-95.40321871
Auto Theft,Non-Violent,77004,29.73249951,-95.34857124
Theft,Non-Violent,77031,29.66079652,-95.52806434
Burglary,Non-Violent,77021,29.68916395,-95.3647354
Theft,Non-Violent,77026,29.78575545,-95.34276629
Theft,Non-Violent,77036,29.71582523,-95.5100705
Aggravated Assault,Violent,77060,29.94940161,-95.41308223
Burglary,Non-Violent,77077,29.73830725,-95.59801024
Theft,Non-Violent,77035,29.65555309,-95.47023659
Auto Theft,Non-Violent,77036,29.681498,-95.55048901
Aggravated Assault,Violent,77045,29.63027418,-95.46402284
Theft,Non-Violent,77074,29.67150376,-95.53952594
Theft,Non-Violent,77042,29.73707064,-95.5483097
Theft,Non-Violent,77063,29.73734122,-95.52484662
Theft,Non-Violent,77022,29.82864955,-95.38068274
Theft,Non-Violent,77006,29.73871188,-95.39825249
Theft,Non-Violent,77087,29.69276528,-95.32011222
Auto Theft,Non-Violent,77034,29.63084515,-95.20529618
Theft,Non-Violent,77022,29.83516426,-95.38436352
Theft,Non-Violent,77007,29.77153851,-95.42323426
Aggravated Assault,Violent,77051,29.67783843,-95.36801813
